product_sk,product_id,product_name,product_category,provider,risk_level
1,PRD-0001,Riester-Rente Basis,Pension,Allianz,Low
2,PRD-0002,Rürup-Rente Plus,Pension,Allianz,Low
3,PRD-0003,Betriebsrente Classic,Pension,Generali,Low
4,PRD-0004,Private Rentenversicherung,Pension,Zurich,Low
5,PRD-0005,Risikolebensversicherung,Insurance,HUK-Coburg,Low
6,PRD-0006,Berufsunfähigkeitsversicherung,Insurance,Allianz,Low
7,PRD-0007,Kfz-Versicherung Premium,Insurance,HUK-Coburg,Low
8,PRD-0008,Hausratversicherung,Insurance,Generali,Low
9,PRD-0009,Haftpflichtversicherung,Insurance,Zurich,Low
10,PRD-0010,Private Krankenzusatz,Insurance,DKV,Low
11,PRD-0011,DWS TopDividende Fonds,Investment,DWS,Medium
12,PRD-0012,MSCI World ETF Sparplan,Investment,iShares,Medium
13,PRD-0013,Deka Global Champions,Investment,Deka,Medium
14,PRD-0014,Emerging Markets Equity Fund,Investment,DWS,High
15,PRD-0015,Nachhaltiger Aktien ETF,Investment,iShares,Medium
16,PRD-0016,Tagesgeld Plus,Investment,Volksbank,Low
17,PRD-0017,Baufinanzierung 10J,Mortgage,Sparkasse,Medium
18,PRD-0018,Baufinanzierung 15J,Mortgage,ING,Medium
19,PRD-0019,Anschlussfinanzierung,Mortgage,Volksbank,Medium
20,PRD-0020,Modernisierungskredit,Mortgage,Sparkasse,Medium
